ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
259,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/2260220684821286830,404,Not Found,10,86,284
261,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/api/3739224760209874782,404,Not Found,9,86,284
263,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,9,86,284
264,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
265,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,4,86,284
266,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/web.xml,404,Not Found,4,79,146
267,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
268,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/applicationContext.xml,404,Not Found,6,79,161
269,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080,404,Not Found,6,86,284
270,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/04/177.class,404,Not Found,7,79,159
271,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/web/xml.class,404,Not Found,4,79,160
272,Thu Aug 01 23:38:04 PET 2024,Thu Aug 01 23:38:04 PET 2024,GET,http://localhost:8080/WEB-INF/classes/04/181.class,404,Not Found,4,79,159
